word,actions,label,pred
Atmosphere is a bore .,"[2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.2214, -0.7103, -0.1330], device='cuda:0', grad_fn=<SelectBackward>)"
"menu - uneventful , small .","[2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([ 0.4588, -1.9960,  0.6251], device='cuda:0', grad_fn=<SelectBackward>)"
Desserts include flan and sopaipillas .,"[2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.9233, -0.7344,  1.5189], device='cuda:0', grad_fn=<SelectBackward>)"
Desserts include flan and sopaipillas .,"[2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.9204, -0.6653,  1.4361], device='cuda:0', grad_fn=<SelectBackward>)"
Desserts include flan and sopaipillas .,"[2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.9245, -0.7264,  1.5061], device='cuda:0', grad_fn=<SelectBackward>)"
There 's candlelight and music .,"[2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.6447, -0.4115,  0.3805], device='cuda:0', grad_fn=<SelectBackward>)"
There 's candlelight and music .,"[2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.6419, -0.4123,  0.3805], device='cuda:0', grad_fn=<SelectBackward>)"
The prices are not terrible .,"[2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([ 1.5228, -1.4913, -0.9785], device='cuda:0', grad_fn=<SelectBackward>)"
The steak melted in my mouth .,"[2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([ 4.3315e-04, -5.4871e-01, -5.0048e-01], device='cuda:0',
       grad_fn=<SelectBackward>)"
The space is traditional in feel .,"[2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.3709, -1.0950,  0.3892], device='cuda:0', grad_fn=<SelectBackward>)"
Dug the blue bar area too .,"[2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([ 0.2977, -0.6959, -0.5521], device='cuda:0', grad_fn=<SelectBackward>)"
